formula,target
Sr4Mg4V8O24,283.093127667
Sr8Y2V6O24,93.8423028603
Ba7Pr1Fe8O24,68.6792013548
Pr6Hf2Zn2Fe6O24,127.306710625
La4Sr4Mn7Co1O24,60.2850907134
Ba4Sr4Ga1Fe7O24,118.302657605
La6Ti2Zn2Co6O24,140.791488296
La6Sm2Cr8O24,0.0
Sr4Ba4Fe2Co6O24,118.103266388
Sr4La1Zn3Ni8O24,381.107806842
Sr8V4Sn4O24,82.91347525
Y6Ta2Zn2Fe6O24,127.740217
Pr4Sr4Mn4Ni4O24,125.571143607
Ca8Fe2Co6O24,193.229456332
La8Ti7Fe1O24,79.2325764722
Y4Ca4Mn6Co2O24,193.969855727
Pr8Ti7Cr1O24,57.6088494687
La6Ta2Mn6Zn2O24,96.279210144
Y4Ca4Mn6Fe2O24,183.449190081
Y8V7Cr1O24,0.0
Nd2Y6Ti8O24,45.062381625
Sr4Y4Ga8O24,221.768006983
Ca4Y4Fe8O24,74.8181406079
Ba8Zr3Fe1Cu4O24,149.611167272
Ba4Pr4Nb7Co1O24,207.515713527
Pr8Sc4Ni4O24,110.716942858
Gd4Y4Fe8O24,0.0
Y4Ca4Fe1Ni7O24,350.052570547
Ba8Zr6Fe1Ni1O24,22.6412638903
Ca2Y6Ga8O24,139.06215854
Sr8V6Fe2O24,71.4796191771
Pr6Dy2Ti8O24,66.761333125
Sr4Ca4Ni6Co2O24,315.514875145
Ba4Pr4Nb6Ni2O24,321.98957475
Y6Nb2Zn2Co6O24,119.65758775
Ba4Sr4Fe8O24,92.5437335409
Ba8Mn7Ni1O24,182.075420764
Pr4Sm4Ti8O24,70.1397815625
Ba4Ca4Fe2Co6O24,205.564030427
La8Mn1Co7O24,27.9926398279
Sr4Ba4Mn1Ni7O24,255.478983068
Ca8Co7Ni1O24,207.904806722
Pr8Fe4Co4O24,40.8070147026
Sr8V4Ga4O24,134.244898562
Bi4Pr4Co8O24,69.4735155302
La1Pr4Zn3Co8O24,172.420203064
Pr4Sr4Mn2Co6O24,65.6442278493
Pr4Ca4Mn1Ni7O24,252.611495932
Ba6Cd2Fe8O24,175.579596453
Ba8Fe4Cu4O24,198.061859124
Ba6La2Fe6Co2O24,89.7212986079
La6Dy2Sc8O24,0.0
Y8Ga7Fe1O24,60.54108325
Y8Ti6Mn2O24,78.303986056
Ba7Zn1Co8O24,177.283020385
Y4Ba4Mn4Ni4O24,292.536083787
Sr8V6Co2O24,109.582963917
Pr8Ga4Fe4O24,37.473804
La4Ho4Co8O24,71.2267570302
Y6Zr2Zn2Co6O24,116.890894504
Ba4Pr4Ta6Co2O24,294.4157031
Ba8Zr5Zn2Fe1O24,79.3342931526
Sr8Ni4Co4O24,181.295284859
Sr4Ba4Mn4Ni4O24,199.00234553
Sr6Nb2Zn2Ni6O24,306.666897145
Pr6Sm2Mn8O24,41.664526817
Ba8Zr6Fe1Co1O24,19.4608832651
Sr4Pr4Sc8O24,102.395742733
Ba4Sr4Co7Ni1O24,148.873886864
Pr4Dy4Sc8O24,43.1287284375
Sr6Ta2Zn2Ni6O24,302.985862645
Ba4Ca4Mn1Co7O24,180.660958134
Y4Ba4Ni6Co2O24,362.461054466
La4Sr4Mn2Co6O24,55.9498436559
Ca4Sr4Co4Ni4O24,244.800345074
La4Nd4Co8O24,41.1709055302
Sr6Ca2Co8O24,111.066721692
Y8Cr2Fe6O24,14.178747375
La4Ho4Cr8O24,0.0
Pr8Ti6Fe2O24,105.442368438
La6Ho2Sc8O24,0.0
Ba4La4V8O24,79.64651974
Y6Ho2Ti8O24,53.686253625
Ba4Y4Fe8O24,120.026452358
La6Ta2Zn2Ni6O24,186.835774858
